ID,job_name,size,fill_a,fill_b,cpu_usage,max_runtime
1,job-matrix-mult-1,500,7,9,1001,141.75
2,job-matrix-mult-2,700,14,35,999,361.2
3,job-matrix-mult-3,1000,42,87,997,1020.6
4,job-matrix-mult-4,1100,25,60,997,1361.85
5,job-matrix-mult-5,200,19,46,1082,8.4
6,job-matrix-mult-6,300,6,21,1020,29.4
7,job-matrix-mult-7,400,99,98,1008,68.25
8,job-matrix-mult-8,600,50,50,999,226.8
9,job-matrix-mult-9,800,2,78,998,528.15
10,job-matrix-mult-10,900,80,30,998,1271.55
11,job-matrix-mult-11,210,73,12,1071,18.9
12,job-matrix-mult-12,220,5,96,1064,22.05
13,job-matrix-mult-13,230,88,31,1045,24.15
14,job-matrix-mult-14,240,47,59,1046,28.35
15,job-matrix-mult-15,250,16,84,1045,30.45
16,job-matrix-mult-16,260,99,3,1034,34.65
17,job-matrix-mult-17,270,41,67,1032,39.9
18,job-matrix-mult-18,280,22,77,1023,44.1
19,job-matrix-mult-19,290,68,25,1025,48.3
20,job-matrix-mult-20,310,9,90,1018,58.8
21,job-matrix-mult-21,320,57,13,1016,65.1
22,job-matrix-mult-22,330,36,44,1015,68.25
23,job-matrix-mult-23,340,82,7,1013,75.6
24,job-matrix-mult-24,350,14,66,1013,84
25,job-matrix-mult-25,360,95,2,1011,89.25
26,job-matrix-mult-26,370,28,61,1009,100.8
27,job-matrix-mult-27,380,63,19,1009,102.9
28,job-matrix-mult-28,390,1,100,1009,113.4
29,job-matrix-mult-29,410,39,52,1007,129.15
30,job-matrix-mult-30,420,70,11,1005,145.95
31,job-matrix-mult-31,430,8,83,1006,155.4
32,job-matrix-mult-32,440,48,29,1004,158.55
33,job-matrix-mult-33,450,55,6,1004,172.2
34,job-matrix-mult-34,460,92,27,1003,187.95
35,job-matrix-mult-35,470,21,73,1003,197.4
36,job-matrix-mult-36,480,65,34,1003,210
37,job-matrix-mult-37,490,30,89,1003,226.8
38,job-matrix-mult-38,510,12,56,1002,250.95
39,job-matrix-mult-39,520,97,4,1000,271.95
40,job-matrix-mult-40,530,43,85,1001,284.55
41,job-matrix-mult-41,540,26,64,1001,302.4
42,job-matrix-mult-42,550,81,15,1001,320.25
43,job-matrix-mult-43,560,6,91,1001,334.95
44,job-matrix-mult-44,570,33,58,1000,355.95
45,job-matrix-mult-45,580,50,20,1000,372.75
46,job-matrix-mult-46,590,17,79,1000,393.75
47,job-matrix-mult-47,610,61,9,999,433.65
48,job-matrix-mult-48,620,2,95,1000,455.7
49,job-matrix-mult-49,630,74,38,1000,475.65
50,job-matrix-mult-50,640,11,86,998,500.85
51,job-matrix-mult-51,650,49,26,999,525
52,job-matrix-mult-52,660,18,68,999,561.75
53,job-matrix-mult-53,670,85,5,998,575.4
54,job-matrix-mult-54,680,40,72,999,603.75
55,job-matrix-mult-55,690,29,63,999,630
56,job-matrix-mult-56,710,93,14,999,680.4
57,job-matrix-mult-57,720,7,88,998,386.4
58,job-matrix-mult-58,730,34,54,998,402.15
59,job-matrix-mult-59,740,52,17,998,426.3
60,job-matrix-mult-60,750,27,71,998,504
61,job-matrix-mult-61,760,60,30,999,455.7
62,job-matrix-mult-62,770,13,82,998,498.75
63,job-matrix-mult-63,780,46,36,998,484.05
64,job-matrix-mult-64,790,100,8,998,945
65,job-matrix-mult-65,810,3,94,998,1027.95
66,job-matrix-mult-66,820,79,22,997,1058.4
67,job-matrix-mult-67,830,35,69,998,1095.15
68,job-matrix-mult-68,840,24,57,997,1167.6
69,job-matrix-mult-69,850,90,10,998,1166.55
70,job-matrix-mult-70,860,44,16,997,1206.45
71,job-matrix-mult-71,870,6,99,997,1286.25
72,job-matrix-mult-72,880,58,41,998,1302
73,job-matrix-mult-73,890,19,76,998,1342.95
74,job-matrix-mult-74,910,72,23,998,1425.9
75,job-matrix-mult-75,920,4,80,996,1484.7
76,job-matrix-mult-76,930,67,33,995,1568.7
77,job-matrix-mult-77,940,15,62,997,1583.4
78,job-matrix-mult-78,950,86,2,997,1632.75
79,job-matrix-mult-79,960,31,47,998,1673.7
80,job-matrix-mult-80,970,53,18,997,1730.4
81,job-matrix-mult-81,980,20,91,995,1809.15
82,job-matrix-mult-82,990,45,7,998,1836.45
83,job-matrix-mult-83,1010,14,83,994,1873.2
84,job-matrix-mult-84,1020,96,11,995,1077.3
85,job-matrix-mult-85,1030,38,59,997,1123.5
86,job-matrix-mult-86,1040,25,66,997,1251.6
87,job-matrix-mult-87,1050,71,29,995,1169.7
88,job-matrix-mult-88,1060,47,12,996,1202.25
89,job-matrix-mult-89,1070,8,95,997,1271.55
90,job-matrix-mult-90,1080,56,39,997,1315.65
91,job-matrix-mult-91,1090,2,88,996,1345.05
92,job-matrix-mult-92,1110,77,21,997,1386
93,job-matrix-mult-93,1120,10,74,996,1443.75
94,job-matrix-mult-94,1130,59,35,997,1499.4
95,job-matrix-mult-95,1140,32,61,997,1519.35
96,job-matrix-mult-96,1150,69,4,996,1541.4
97,job-matrix-mult-97,1160,23,80,996,1696.8
98,job-matrix-mult-98,1170,41,53,997,1627.5
99,job-matrix-mult-99,1180,84,15,997,1672.65
100,job-matrix-mult-100,1190,5,97,996,1711.5
