order,rho,ori_id,size,fill_a,fill_b,job_name,pod_name,arrival_timestamp,pod_creation_timestamp,container_creation_timestamp,container_started_at,finished_at,scheduled_at,queue_wait_seconds,deadline_timestamp,,,arrival_timestamp_clean,pod_creation_timestamp_clean,container_creation_timestamp_clean,container_started_at_clean,finished_at_clean,scheduled_at_clean,queue_wait_seconds_clean,deadline_timestamp_clean,runtime,deadline_duration,deadline miss,latency
1,high,97,1160,23,80,job-matrix-mult-97,job-matrix-mult-97-sck8r,2026-05-10T13:42:01Z,2026-05-10T13:42:01Z,2026-05-10T13:42:01Z,2026-05-10T13:42:02Z,2026-05-10T14:06:47Z,2026-05-10T13:42:01Z,0,2026-05-10T14:10:18Z,,,13:42:01,13:42:01,13:42:01,13:42:02,14:06:47,13:42:01,0,14:10:18,1486,1697,NO,0
2,high,65,810,3,94,job-matrix-mult-65,job-matrix-mult-65-84svp,2026-05-10T13:42:18Z,2026-05-10T13:42:19Z,2026-05-10T13:42:19Z,2026-05-10T13:42:19Z,2026-05-10T13:51:10Z,2026-05-10T13:42:19Z,1,2026-05-10T13:59:27Z,,,13:42:18,13:42:19,13:42:19,13:42:19,13:51:10,13:42:19,1,13:59:27,531,1028,NO,0
3,high,39,520,97,4,job-matrix-mult-39,job-matrix-mult-39-xkfmb,2026-05-10T13:44:50Z,2026-05-10T13:44:50Z,2026-05-10T13:44:50Z,2026-05-10T13:44:51Z,2026-05-10T13:47:04Z,2026-05-10T13:44:50Z,0,2026-05-10T13:49:22Z,,,13:44:50,13:44:50,13:44:50,13:44:51,13:47:04,13:44:50,0,13:49:22,134,272,NO,0
4,high,100,1190,5,97,job-matrix-mult-100,job-matrix-mult-100-wwxgd,2026-05-10T13:45:27Z,2026-05-10T13:45:27Z,2026-05-10T13:45:27Z,2026-05-10T13:45:28Z,2026-05-10T14:12:24Z,2026-05-10T13:45:27Z,0,2026-05-10T14:13:59Z,,,13:45:27,13:45:27,13:45:27,13:45:28,14:12:24,13:45:27,0,14:13:59,1617,1712,NO,0
5,high,3,1000,42,87,job-matrix-mult-3,job-matrix-mult-3-5pphd,2026-05-10T13:47:20Z,2026-05-10T13:47:20Z,2026-05-10T13:47:20Z,2026-05-10T13:47:21Z,2026-05-10T14:04:30Z,2026-05-10T13:47:20Z,0,2026-05-10T14:04:21Z,,,13:47:20,13:47:20,13:47:20,13:47:21,14:04:30,13:47:20,0,14:04:21,1030,1021,YES,9
6,high,78,950,86,2,job-matrix-mult-78,job-matrix-mult-78-9sss4,2026-05-10T13:48:44Z,2026-05-10T13:48:45Z,2026-05-10T13:48:45Z,2026-05-10T13:48:45Z,2026-05-10T14:02:21Z,2026-05-10T13:48:45Z,1,2026-05-10T14:15:58Z,,,13:48:44,13:48:45,13:48:45,13:48:45,14:02:21,13:48:45,1,14:15:58,816,1633,NO,0
7,high,35,470,21,73,job-matrix-mult-35,job-matrix-mult-35-jt8bh,2026-05-10T13:48:46Z,2026-05-10T13:48:46Z,2026-05-10T13:48:46Z,2026-05-10T13:48:47Z,2026-05-10T13:50:25Z,2026-05-10T13:48:46Z,0,2026-05-10T13:52:04Z,,,13:48:46,13:48:46,13:48:46,13:48:47,13:50:25,13:48:46,0,13:52:04,99,198,NO,0
8,high,29,410,39,52,job-matrix-mult-29,job-matrix-mult-29-lnndm,2026-05-10T13:49:48Z,2026-05-10T13:49:48Z,2026-05-10T13:49:48Z,2026-05-10T13:49:49Z,2026-05-10T13:50:55Z,2026-05-10T13:49:48Z,0,2026-05-10T13:51:58Z,,,13:49:48,13:49:48,13:49:48,13:49:49,13:50:55,13:49:48,0,13:51:58,67,130,NO,0
9,high,14,240,47,59,job-matrix-mult-14,job-matrix-mult-14-dzdw5,2026-05-10T13:50:18Z,2026-05-10T13:50:18Z,2026-05-10T13:50:18Z,2026-05-10T13:50:19Z,2026-05-10T13:50:32Z,2026-05-10T13:50:18Z,0,2026-05-10T13:50:47Z,,,13:50:18,13:50:18,13:50:18,13:50:19,13:50:32,13:50:18,0,13:50:47,14,29,NO,0
10,high,7,400,99,98,job-matrix-mult-7,job-matrix-mult-7-285nr,2026-05-10T13:53:50Z,2026-05-10T13:53:51Z,2026-05-10T13:53:51Z,2026-05-10T13:53:51Z,2026-05-10T13:54:53Z,2026-05-10T13:53:51Z,1,2026-05-10T13:55:00Z,,,13:53:50,13:53:51,13:53:51,13:53:51,13:54:53,13:53:51,1,13:55:00,62,69,NO,0
