id,trial_id,size,fill_a,fill_b,job_name,pod_name,logs_end,logs_end_time,logs_start,logs_start_time,logs_wall_cs,logs_wall_us,logs_cpu_usage,pod_creation_timestamp,container_creation_timestamp,started_at,finished_at,scheduled_at
1,1,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-nqkhn,124467687,498957870,89738,498945444,12426,124260000,1000m,2026-03-14T10:08:06Z,2026-03-14T10:08:06Z,2026-03-14T10:08:06Z,2026-03-14T10:10:10Z,2026-03-14T10:08:06Z
1,2,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-zxx6p,120004220,498970627,99605,498958649,11978,119780000,1001m,2026-03-14T10:10:18Z,2026-03-14T10:10:18Z,2026-03-14T10:10:18Z,2026-03-14T10:12:18Z,2026-03-14T10:10:18Z
1,3,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-9tfh9,126487317,498983469,100407,498970846,12623,126230000,1001m,2026-03-14T10:12:20Z,2026-03-14T10:12:20Z,2026-03-14T10:12:20Z,2026-03-14T10:14:26Z,2026-03-14T10:12:20Z
1,4,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-jht6p,119190967,498995927,88676,498984048,11879,118790000,1002m,2026-03-14T10:14:32Z,2026-03-14T10:14:32Z,2026-03-14T10:14:32Z,2026-03-14T10:16:31Z,2026-03-14T10:14:32Z
1,5,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-pbxhq,120553466,499008261,88679,498996246,12015,120150000,1002m,2026-03-14T10:16:34Z,2026-03-14T10:16:34Z,2026-03-14T10:16:34Z,2026-03-14T10:18:34Z,2026-03-14T10:16:34Z
1,6,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-9fbrg,119312899,499021404,87341,499009480,11924,119240000,999m,2026-03-14T10:18:46Z,2026-03-14T10:18:46Z,2026-03-14T10:18:47Z,2026-03-14T10:20:46Z,2026-03-14T10:18:46Z
1,7,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-98dcd,119401197,499033552,89279,499021648,11904,119040000,1002m,2026-03-14T10:20:48Z,2026-03-14T10:20:48Z,2026-03-14T10:20:48Z,2026-03-14T10:22:47Z,2026-03-14T10:20:48Z
1,8,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-98dcd,119401197,499033552,89279,499021648,11904,119040000,1002m,2026-03-14T10:20:48Z,2026-03-14T10:20:48Z,2026-03-14T10:20:48Z,2026-03-14T10:22:47Z,2026-03-14T10:20:48Z
1,9,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-72dvb,119419714,499045846,87525,499033936,11910,119100000,1001m,2026-03-14T10:22:50Z,2026-03-14T10:22:50Z,2026-03-14T10:22:51Z,2026-03-14T10:24:50Z,2026-03-14T10:22:50Z
1,10,500,7,9,job-matrix-mult-default-1,job-matrix-mult-default-1-m5fzr,120643228,499058151,85695,499046129,12022,120220000,1002m,2026-03-14T10:24:52Z,2026-03-14T10:24:52Z,2026-03-14T10:24:53Z,2026-03-14T10:26:53Z,2026-03-14T10:24:52Z
2,1,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-n95sj,326112195,499091985,86578,499059337,32648,326480000,998m,2026-03-14T10:27:04Z,2026-03-14T10:27:04Z,2026-03-14T10:27:05Z,2026-03-14T10:32:32Z,2026-03-14T10:27:04Z
2,2,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-v49lc,331118424,499125824,84553,499092722,33102,331020000,1000m,2026-03-14T10:32:38Z,2026-03-14T10:32:38Z,2026-03-14T10:32:39Z,2026-03-14T10:38:10Z,2026-03-14T10:32:38Z
2,3,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-vl7v6,326248413,499158728,88061,499126114,32614,326140000,1000m,2026-03-14T10:38:12Z,2026-03-14T10:38:12Z,2026-03-14T10:38:13Z,2026-03-14T10:43:39Z,2026-03-14T10:38:12Z
2,4,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-xkfsm,334505680,499193030,87131,499159499,33531,335310000,997m,2026-03-14T10:43:46Z,2026-03-14T10:43:46Z,2026-03-14T10:43:47Z,2026-03-14T10:49:22Z,2026-03-14T10:43:46Z
2,5,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-t49th,332569936,499227192,88754,499193894,33298,332980000,998m,2026-03-14T10:49:30Z,2026-03-14T10:49:30Z,2026-03-14T10:49:31Z,2026-03-14T10:55:04Z,2026-03-14T10:49:30Z
2,6,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-m5b9r,329637909,499261259,86460,499228284,32975,329750000,999m,2026-03-14T10:55:14Z,2026-03-14T10:55:14Z,2026-03-14T10:55:15Z,2026-03-14T11:00:44Z,2026-03-14T10:55:14Z
2,7,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-kzhm7,325449118,499294241,83753,499261667,32574,325740000,998m,2026-03-14T11:00:48Z,2026-03-14T11:00:48Z,2026-03-14T11:00:48Z,2026-03-14T11:06:14Z,2026-03-14T11:00:48Z
2,8,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-x6mbw,332213463,499328380,88293,499295067,33313,333130000,996m,2026-03-14T11:06:22Z,2026-03-14T11:06:22Z,2026-03-14T11:06:22Z,2026-03-14T11:11:56Z,2026-03-14T11:06:22Z
2,9,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-8248s,326057470,499362073,87816,499329456,32617,326170000,999m,2026-03-14T11:12:06Z,2026-03-14T11:12:06Z,2026-03-14T11:12:06Z,2026-03-14T11:17:33Z,2026-03-14T11:12:06Z
2,10,700,14,35,job-matrix-mult-default-2,job-matrix-mult-default-2-p4n5x,325511771,499395403,86169,499362840,32563,325630000,999m,2026-03-14T11:17:39Z,2026-03-14T11:17:39Z,2026-03-14T11:17:40Z,2026-03-14T11:23:06Z,2026-03-14T11:17:39Z
3,1,1000,42,87,,,,,,,,,,,,,,
3,2,1000,42,87,,,,,,,,,,,,,,
3,3,1000,42,87,,,,,,,,,,,,,,
3,4,1000,42,87,,,,,,,,,,,,,,
3,5,1000,42,87,,,,,,,,,,,,,,
3,6,1000,42,87,,,,,,,,,,,,,,
3,7,1000,42,87,,,,,,,,,,,,,,
3,8,1000,42,87,,,,,,,,,,,,,,
3,9,1000,42,87,,,,,,,,,,,,,,
3,10,1000,42,87,,,,,,,,,,,,,,
4,1,1100,25,60,,,,,,,,,,,,,,
4,2,1100,25,60,,,,,,,,,,,,,,
4,3,1100,25,60,,,,,,,,,,,,,,
4,4,1100,25,60,,,,,,,,,,,,,,
4,5,1100,25,60,,,,,,,,,,,,,,
4,6,1100,25,60,,,,,,,,,,,,,,
4,7,1100,25,60,,,,,,,,,,,,,,
4,8,1100,25,60,,,,,,,,,,,,,,
4,9,1100,25,60,,,,,,,,,,,,,,
4,10,1100,25,60,,,,,,,,,,,,,,
